
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
         7       23       2.40821E-03   0.1907
         8       23       1.96009E-03   0.2184
         9       23       1.49403E-03   0.2308
        10       23       1.34780E-03   0.2081
        11       23       8.61213E-04   0.2375
        12       23       9.05274E-04   0.2914
        13       23       8.02398E-04   0.3086
        14       23       6.85662E-04   0.3403
        15       23       6.32971E-04   0.3474
        16       23       6.96394E-04   0.2926
        17       23       2.09079E-03   0.1058
        18       23       2.02162E-03   0.1066
        19       23       1.94525E-03   0.1463
        20       23       2.19400E-03   0.1462
        21       23       2.20025E-03   0.1600
        22       23       2.04411E-03   0.1536
        23       23       1.81247E-03   0.1482
        24       23       1.39026E-03   0.1340
        25       23       1.53565E-03   0.1448
        26       23       1.38554E-03   0.1421
        27       23       2.26581E-03   0.1990
        28       23       1.86615E-03   0.1306
        29       23       2.17364E-03   0.2075
        30       23       2.43944E-03   0.1929
        31       23       2.45278E-03   0.1411
        32       23       2.40543E-03   0.1636
         1       24       4.53141E-03   0.1489
         2       24       4.22419E-03   0.1720
         3       24       3.64339E-03   0.2327
         4       24       2.45223E-03   0.3408
         5       24       2.36918E-03   0.3198
         6       24       2.51512E-03   0.2679
         7       24       2.38706E-03   0.2280
         8       24       2.17188E-03   0.2235
         9       24       1.70156E-03   0.2360
        10       24       1.48060E-03   0.2621
        11       24       1.24682E-03   0.2506
        12       24       1.19056E-03   0.2725
        13       24       1.27777E-03   0.3258
        14       24       1.43281E-03   0.3619
        15       24       1.32917E-03   0.3679
        16       24       1.23375E-03   0.3344
        17       24       2.24103E-03   0.1072
        18       24       2.72128E-03   0.1246
        19       24       3.04135E-03   0.1880
        20       24       2.41587E-03   0.1163
        21       24       2.12983E-03   0.1196
        22       24       2.08959E-03   0.1374
        23       24       1.98171E-03   0.1288
        24       24       1.51679E-03   0.1165
        25       24       1.25678E-03   0.1046
        26       24       1.24365E-03   0.1260
        27       24       1.60338E-03   0.1256
        28       24       1.88621E-03   0.1275
        29       24       2.30470E-03   0.1423
        30       24       2.18965E-03   0.1503
        31       24       2.37094E-03   0.1449
