
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
        19       19       2.21184E-03   0.1504
        20       19       2.43824E-03   0.2050
        21       19       2.16018E-03   0.1869
        22       19       1.65452E-03   0.1808
        23       19       1.56608E-03   0.1243
        24       19       1.35676E-03   0.1219
        25       19       1.18588E-03   0.1224
        26       19       1.20560E-03   0.1392
        27       19       1.27635E-03   0.1215
        28       19       1.38226E-03   0.1373
        29       19       1.43179E-03   0.1342
        30       19       1.26686E-03   0.1315
        31       19       1.68079E-03   0.1722
        32       19       1.69848E-03   0.1716
         1       20       8.83848E-03   0.1354
         2       20       8.64407E-03   0.1426
         3       20       8.68620E-03   0.1591
         4       20       7.79894E-03   0.1999
         5       20       6.84039E-03   0.2057
         6       20       5.90309E-03   0.1994
         7       20       4.59653E-03   0.1905
         8       20       3.57465E-03   0.1918
         9       20       3.19304E-03   0.2095
        10       20       2.77285E-03   0.2486
        11       20       2.28787E-03   0.2948
        12       20       1.75321E-03   0.2972
        13       20       9.98338E-04   0.2883
        14       20       4.78805E-04   0.2360
        15       20       3.86480E-04   0.2518
        16       20       3.46150E-04   0.2553
        17       20       2.74856E-03   0.1303
        18       20       2.58472E-03   0.1664
        19       20       2.39978E-03   0.1696
        20       20       2.84736E-03   0.1936
        21       20       2.35715E-03   0.1075
        22       20       2.35901E-03   0.1155
        23       20       1.94878E-03   0.1148
        24       20       1.67095E-03   0.1238
        25       20       1.62821E-03   0.1272
        26       20       1.46752E-03   0.1215
        27       20       1.69658E-03   0.1107
        28       20       1.80427E-03   0.1492
        29       20       1.57277E-03   0.1257
        30       20       1.63689E-03   0.1237
        31       20       1.75126E-03   0.1169
        32       20       1.81357E-03   0.1168
         1       21       8.65639E-03   0.1275
         2       21       8.68100E-03   0.1429
         3       21       7.63886E-03   0.1750
         4       21       7.14030E-03   0.2062
         5       21       5.88642E-03   0.1748
         6       21       5.05673E-03   0.1826
         7       21       4.31073E-03   0.1820
         8       21       3.12344E-03   0.2054
         9       21       1.65927E-03   0.2231
        10       21       1.16696E-03   0.1907
        11       21       1.00219E-03   0.2669
        12       21       1.17068E-03   0.2681
        13       21       1.27634E-03   0.2925
        14       21       1.26890E-03   0.3601
        15       21       7.63540E-04   0.2910
        16       21       6.90343E-04   0.3083
        17       21       3.05570E-03   0.1172
        18       21       3.75743E-03   0.1349
        19       21       3.37152E-03   0.1229
        20       21       3.18909E-03   0.1769
        21       21       2.66758E-03   0.1130
        22       21       2.12824E-03   0.0978
        23       21       1.72417E-03   0.1036
        24       21       1.83535E-03   0.1121
        25       21       1.72786E-03   0.1311
        26       21       1.50341E-03   0.1465
        27       21       1.75079E-03   0.1430
        28       21       1.98760E-03   0.1320
        29       21       1.19490E-03   0.1472
        30       21       1.32780E-03   0.2035
        31       21       1.18146E-03   0.1234
        32       21       1.40606E-03   0.1148
         1       22       9.32495E-03   0.1398
         2       22       8.37782E-03   0.1422
         3       22       7.75352E-03   0.1660
         4       22       6.69734E-03   0.2088
         5       22       6.87780E-03   0.2301
         6       22       6.43644E-03   0.2219
         7       22       5.91289E-03   0.2097
         8       22       5.42873E-03   0.2062
         9       22       4.47212E-03   0.2169
        10       22       2.85680E-03   0.2216
        11       22       1.98004E-03   0.2539
        12       22       1.61496E-03   0.2517
        13       22       1.59513E-03   0.2358
        14       22       1.24273E-03   0.2707
        15       22       1.55201E-03   0.3101
        16       22       1.37613E-03   0.2924
        17       22       3.06417E-03   0.1074
        18       22       3.48532E-03   0.2348
        19       22       2.39221E-03   0.1384
        20       22       2.39400E-03   0.1159
        21       22       2.55022E-03   0.1228
        22       22       2.28929E-03   0.1312
        23       22       1.62862E-03   0.1358
        24       22       1.42506E-03   0.1020
        25       22       1.52200E-03   0.1095
        26       22       1.59762E-03   0.1180
        27       22       1.68583E-03   0.1003
        28       22       1.82366E-03   0.1335
        29       22       1.52199E-03   0.1434
        30       22       1.47536E-03   0.1339
        31       22       1.60692E-03   0.1221
        32       22       1.67510E-03   0.1203
         1       23       7.95191E-03   0.1199
         2       23       7.36894E-03   0.1271
         3       23       7.06767E-03   0.1546
         4       23       6.89537E-03   0.1861
         5       23       6.41358E-03   0.1811
         6       23       6.44618E-03   0.1742
         7       23       4.94267E-03   0.1713
         8       23       3.78113E-03   0.1933
         9       23       2.64779E-03   0.2273
        10       23       1.88798E-03   0.2576
        11       23       1.36326E-03   0.3338
        12       23       1.22228E-03   0.3056
        13       23       7.51280E-04   0.2729
        14       23       5.34643E-04   0.2435
        15       23       4.16661E-04   0.2701
        16       23       5.06914E-04   0.2826
        17       23       3.52976E-03   0.1095
        18       23       3.99833E-03   0.1445
        19       23       3.25270E-03   0.1714
        20       23       3.04157E-03   0.2179
        21       23       2.76872E-03   0.1395
        22       23       2.26840E-03   0.1039
        23       23       2.13294E-03   0.1250
        24       23       1.92339E-03   0.1367
        25       23       1.48839E-03   0.1144
        26       23       1.79575E-03   0.1255
        27       23       1.99762E-03   0.1170
        28       23       1.58647E-03   0.1181
        29       23       1.54521E-03   0.1547
        30       23       1.75381E-03   0.2008
        31       23       2.07486E-03   0.1678
        32       23       1.92150E-03   0.1573
         1       24       9.49074E-03   0.1293
         2       24       8.91403E-03   0.1288
         3       24       7.60501E-03   0.1474
         4       24       6.90285E-03   0.1715
         5       24       6.07139E-03   0.1795
         6       24       4.78023E-03   0.1877
         7       24       4.83192E-03   0.1843
         8       24       4.27789E-03   0.2086
         9       24       3.90784E-03   0.2264
        10       24       3.51654E-03   0.2452
        11       24       2.75938E-03   0.2759
        12       24       2.41245E-03   0.2653
        13       24       1.61767E-03   0.2731
        14       24       9.72897E-04   0.3171
        15       24       8.99237E-04   0.3097
        16       24       7.46562E-04   0.3146
        17       24       2.89723E-03   0.1098
        18       24       3.07248E-03   0.1215
        19       24       3.51161E-03   0.1255
        20       24       3.40779E-03   0.1501
        21       24       3.21818E-03   0.1207
        22       24       2.37854E-03   0.1083
        23       24       2.04627E-03   0.1137
        24       24       2.20506E-03   0.1291
        25       24       1.78280E-03   0.1383
        26       24       1.69143E-03   0.1132
        27       24       2.18156E-03   0.1240
        28       24       2.61112E-03   0.1343
        29       24       1.99235E-03   0.1283
        30       24       1.71648E-03   0.1158
        31       24       2.10379E-03   0.1276
